STATE,XX,REPS
Alabama,AL,7
Alaska,AK,1
Arizona,AZ,5
Arkansas,AR,4
California,CA,45
Colorado,CO,6
Connecticut,CT,6
Delaware,DE,1
Florida,FL,19
Georgia,GA,10
Hawaii,HI,2
Idaho,ID,2
Illinois,IL,22
Indiana,IN,10
Iowa,IA,6
Kansas,KS,5
Kentucky,KY,7
Louisiana,LA,8
Maine,ME,2
Maryland,MD,8
Massachusetts,MA,11
Michigan,MI,18
Minnesota,MN,8
Mississippi,MS,5
Missouri,MO,9
Montana,MT,2
Nebraska,NE,3
Nevada,NV,2
New Hampshire,NH,2
New Jersey,NJ,14
New Mexico,NM,3
New York,NY,34
North Carolina,NC,11
North Dakota,ND,1
Ohio,OH,21
Oklahoma,OK,6
Oregon,OR,5
Pennsylvania,PA,23
Rhode Island,RI,2
South Carolina,SC,6
South Dakota,SD,1
Tennessee,TN,9
Texas,TX,27
Utah,UT,3
Vermont,VT,1
Virginia,VA,10
Washington,WA,8
West Virginia,WV,4
Wisconsin,WI,9
Wyoming,WY,1
