STATE,XX,REPS
Alabama,AL,7
Alaska,AK,1
Arizona,AZ,8
Arkansas,AR,4
California,CA,53
Colorado,CO,7
Connecticut,CT,5
Delaware,DE,1
Florida,FL,25
Georgia,GA,13
Hawaii,HI,2
Idaho,ID,2
Illinois,IL,19
Indiana,IN,9
Iowa,IA,5
Kansas,KS,4
Kentucky,KY,6
Louisiana,LA,7
Maine,ME,2
Maryland,MD,8
Massachusetts,MA,10
Michigan,MI,15
Minnesota,MN,8
Mississippi,MS,4
Missouri,MO,9
Montana,MT,1
Nebraska,NE,3
Nevada,NV,3
New Hampshire,NH,2
New Jersey,NJ,13
New Mexico,NM,3
New York,NY,29
North Carolina,NC,13
North Dakota,ND,1
Ohio,OH,18
Oklahoma,OK,5
Oregon,OR,5
Pennsylvania,PA,19
Rhode Island,RI,2
South Carolina,SC,6
South Dakota,SD,1
Tennessee,TN,9
Texas,TX,32
Utah,UT,3
Vermont,VT,1
Virginia,VA,11
Washington,WA,9
West Virginia,WV,3
Wisconsin,WI,8
Wyoming,WY,1
