XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,686140.285714,9,533664.666667,0.370071,1,0.227214,3,0.036738
AK,1,721523.000000,2,360761.500000,0.417197,0,0.417197,1,0.082803
AZ,9,712522.222222,12,534391.666667,0.457573,4,0.013129,5,0.040907
AR,4,731557.250000,6,487704.833333,0.320057,0,0.320057,2,0.013277
CA,53,704565.830189,72,518638.736111,0.623756,39,0.112093,45,0.001244
CO,7,720704.285714,10,504493.000000,0.495137,3,0.066565,5,0.004863
CT,5,716325.600000,7,511661.142857,0.639500,5,0.360500,5,0.074785
DE,1,900877.000000,2,450438.500000,0.575462,1,0.424538,1,0.075462
FL,27,700028.629630,36,525021.472222,0.468179,11,0.060772,17,0.004043
GA,14,694826.142857,19,511977.157895,0.442653,4,0.156939,8,0.021600
HI,2,683431.000000,3,455620.666667,0.786942,2,0.213058,2,0.120276
ID,2,786749.500000,3,524499.666667,0.318325,0,0.318325,1,0.015008
IL,18,714687.777778,25,514575.200000,0.546656,11,0.064455,14,0.013344
IN,9,722398.000000,13,500121.692308,0.397219,2,0.174997,5,0.012604
IA,4,763446.750000,6,508964.500000,0.470350,1,0.220350,3,0.029650
KS,4,715953.250000,6,477302.166667,0.359080,0,0.359080,2,0.025747
KY,6,725101.000000,8,543825.750000,0.349095,1,0.182429,3,0.025905
LA,6,758993.666667,9,505995.777778,0.317622,1,0.150956,3,0.015711
ME,2,666537.000000,3,444358.000000,0.519608,1,0.019608,2,0.147058
MD,8,723741.125000,11,526357.181818,0.629722,7,0.245278,7,0.006641
MA,9,728849.333333,13,504588.000000,0.708142,9,0.291858,9,0.015834
MI,14,707973.285714,19,521664.526316,0.494431,5,0.137288,9,0.020747
MN,8,664359.875000,10,531487.900000,0.518034,5,0.106966,5,0.018034
MS,4,744560.000000,6,496373.333333,0.392651,1,0.142651,2,0.059318
MO,8,751434.750000,12,500956.500000,0.394161,2,0.144161,5,0.022506
MT,1,994416.000000,2,497208.000000,0.419150,0,0.419150,1,0.080850
NE,3,610608.333333,4,457956.250000,0.352468,0,0.352468,1,0.102468
NV,4,677358.000000,5,541886.400000,0.504974,3,0.245026,3,0.095026
NH,2,660722.500000,3,440481.666667,0.515672,2,0.484328,2,0.150995
NJ,12,733958.416667,17,518088.294118,0.540941,7,0.042393,9,0.011529
NM,3,689091.000000,4,516818.250000,0.560129,2,0.106538,2,0.060129
NY,27,719298.333333,37,524893.378378,0.614620,18,0.052047,23,0.007002
NC,13,735829.307692,18,531432.277778,0.466812,3,0.236043,8,0.022368
ND,1,675905.000000,2,337952.500000,0.255687,0,0.255687,1,0.244313
OH,16,723030.937500,22,525840.681818,0.418310,4,0.168310,9,0.009219
OK,5,752976.400000,7,537840.285714,0.289281,0,0.289281,2,0.003566
OR,5,769721.200000,7,549800.857143,0.561419,4,0.238581,4,0.010010
PA,18,707494.722222,24,530621.041667,0.483590,5,0.205812,11,0.025257
RI,2,527623.500000,3,351749.000000,0.651023,2,0.348977,2,0.015644
SC,7,663710.714286,9,516219.444444,0.398535,1,0.255678,3,0.065202
SD,1,819761.000000,2,409880.500000,0.358972,0,0.358972,1,0.141028
TN,9,708381.222222,12,531285.916667,0.352777,2,0.130555,4,0.019443
TX,36,701900.500000,49,515682.000000,0.421934,11,0.116378,21,0.006638
UT,4,692691.250000,5,554153.000000,0.333939,0,0.333939,1,0.133939
VT,1,630337.000000,2,315168.500000,0.721039,1,0.278961,1,0.221039
VA,11,730703.272727,15,535849.066667,0.484843,4,0.121206,7,0.018176
WA,10,675336.900000,13,519489.923077,0.556572,6,0.043428,7,0.018111
WV,3,619938.333333,4,464953.750000,0.335266,0,0.335266,1,0.085266
WI,8,712278.750000,11,518020.909091,0.466189,3,0.091189,5,0.011644
WY,1,568300.000000,2,284150.000000,0.325787,0,0.325787,1,0.174213
