XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,686140.285714,10,480298.200000,0.380751,1,0.237894,4,0.019249
AK,1,721523.000000,2,360761.500000,0.417197,0,0.417197,1,0.082803
AZ,9,712522.222222,13,493284.615385,0.465830,4,0.021386,6,0.004292
AR,4,731557.250000,6,487704.833333,0.320782,0,0.320782,2,0.012552
CA,53,704565.830189,78,478743.448718,0.615493,39,0.120356,48,0.000108
CO,7,720704.285714,11,458630.000000,0.495137,3,0.066565,5,0.040591
CT,5,716325.600000,7,511661.142857,0.621579,5,0.378421,5,0.092707
DE,1,900877.000000,2,450438.500000,0.575462,1,0.424538,1,0.075462
FL,27,700028.629630,39,484635.205128,0.466186,11,0.058778,18,0.004647
GA,14,694826.142857,20,486378.300000,0.443298,4,0.157584,9,0.006702
HI,2,683431.000000,3,455620.666667,0.786942,2,0.213058,2,0.120276
ID,2,786749.500000,3,524499.666667,0.318325,0,0.318325,1,0.015008
IL,18,714687.777778,27,476458.518519,0.543859,11,0.067252,15,0.011696
IN,9,722398.000000,14,464398.714286,0.407794,2,0.185572,6,0.020777
IA,4,763446.750000,6,508964.500000,0.453204,1,0.203204,3,0.046796
KS,4,715953.250000,6,477302.166667,0.356724,0,0.356724,2,0.023390
KY,6,725101.000000,9,483400.666667,0.365480,1,0.198814,3,0.032147
LA,6,758993.666667,10,455396.200000,0.329872,1,0.163205,3,0.029872
ME,2,666537.000000,3,444358.000000,0.519608,1,0.019608,2,0.147058
MD,8,723741.125000,12,482494.083333,0.629722,7,0.245278,8,0.036944
MA,9,728849.333333,14,468546.000000,0.694162,9,0.305838,10,0.020124
MI,14,707973.285714,21,471982.190476,0.494431,5,0.137288,10,0.018241
MN,8,664359.875000,11,483170.818182,0.573434,5,0.051566,6,0.027979
MS,4,744560.000000,6,496373.333333,0.397889,1,0.147889,2,0.064556
MO,8,751434.750000,13,462421.384615,0.394161,2,0.144161,5,0.009545
MT,1,994416.000000,2,497208.000000,0.419150,0,0.419150,1,0.080850
NE,3,610608.333333,4,457956.250000,0.363368,0,0.363368,1,0.113368
NV,4,677358.000000,6,451572.000000,0.504974,3,0.245026,3,0.004974
NH,2,660722.500000,3,440481.666667,0.515672,2,0.484328,2,0.150995
NJ,12,733958.416667,18,489305.611111,0.541625,7,0.041709,10,0.013931
NM,3,689091.000000,4,516818.250000,0.560129,2,0.106538,2,0.060129
NY,27,719298.333333,41,473684.268293,0.624668,18,0.041999,26,0.009478
NC,13,735829.307692,20,478289.050000,0.466812,3,0.236043,9,0.016812
ND,1,675905.000000,2,337952.500000,0.434028,0,0.434028,1,0.065972
OH,16,723030.937500,24,482020.625000,0.418310,4,0.168310,10,0.001643
OK,5,752976.400000,8,470610.250000,0.284782,0,0.284782,2,0.034782
OR,5,769721.200000,8,481075.750000,0.547517,4,0.252483,4,0.047517
PA,18,707494.722222,27,471663.148148,0.471663,5,0.193886,13,0.009818
RI,2,527623.500000,3,351749.000000,0.651023,2,0.348977,2,0.015644
SC,7,663710.714286,10,464597.500000,0.394668,1,0.251811,4,0.005332
SD,1,819761.000000,2,409880.500000,0.358972,0,0.358972,1,0.141028
TN,9,708381.222222,13,490417.769231,0.352777,2,0.130555,5,0.031839
TX,36,701900.500000,53,476762.603774,0.434248,11,0.128692,23,0.000285
UT,4,692691.250000,6,461794.166667,0.333939,0,0.333939,2,0.000606
VT,1,630337.000000,2,315168.500000,1.000000,1,0.000000,2,0.000000
VA,11,730703.272727,17,472808.000000,0.488212,4,0.124576,8,0.017624
WA,10,675336.900000,14,482383.500000,0.539312,6,0.060688,8,0.032117
WV,3,619938.333333,4,464953.750000,0.335266,0,0.335266,1,0.085266
WI,8,712278.750000,12,474852.500000,0.487819,3,0.112819,6,0.012181
WY,1,568300.000000,2,284150.000000,0.325787,0,0.325787,1,0.174213
