XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,686140.285714,9,533664.666667,0.365118,1,0.222261,3,0.031784
AK,1,721523.000000,1,721523.000000,0.445620,0,0.445620,0,0.445620
AZ,9,712522.222222,12,534391.666667,0.446445,4,0.002001,5,0.029779
AR,4,731557.250000,6,487704.833333,0.385534,0,0.385534,2,0.052201
CA,53,704565.830189,72,518638.736111,0.564408,39,0.171441,41,0.005036
CO,7,720704.285714,10,504493.000000,0.483533,3,0.054962,5,0.016467
CT,5,716325.600000,7,511661.142857,0.592890,5,0.407110,5,0.121396
DE,1,900877.000000,2,450438.500000,0.617144,1,0.382856,1,0.117144
FL,27,700028.629630,37,510831.702703,0.443091,10,0.072721,16,0.010659
GA,14,694826.142857,19,511977.157895,0.434272,4,0.148557,8,0.013219
HI,2,683431.000000,3,455620.666667,0.662196,2,0.337804,2,0.004471
ID,2,786749.500000,3,524499.666667,0.367869,0,0.367869,1,0.034535
IL,18,714687.777778,25,514575.200000,0.514235,10,0.041321,13,0.005765
IN,9,722398.000000,13,500121.692308,0.388967,2,0.166745,5,0.004351
IA,4,763446.750000,6,508964.500000,0.460782,1,0.210782,3,0.039218
KS,4,715953.250000,6,477302.166667,0.365523,0,0.365523,2,0.032190
KY,6,725101.000000,8,543825.750000,0.364186,1,0.197519,3,0.010814
LA,6,758993.666667,9,505995.777778,0.348676,1,0.182010,3,0.015343
ME,2,666537.000000,3,444358.000000,0.572351,1,0.072351,2,0.094316
MD,8,723741.125000,11,526357.181818,0.581379,7,0.293621,7,0.054985
MA,9,728849.333333,13,504588.000000,0.662413,9,0.337587,9,0.029894
MI,14,707973.285714,19,521664.526316,0.508755,5,0.151612,10,0.017561
MN,8,664359.875000,10,531487.900000,0.519013,5,0.105987,5,0.019013
MS,4,744560.000000,6,496373.333333,0.389664,1,0.139664,2,0.056331
MO,8,751434.750000,12,500956.500000,0.379915,2,0.129915,5,0.036752
MT,1,994416.000000,2,497208.000000,0.421743,0,0.421743,1,0.078257
NE,3,610608.333333,4,457956.250000,0.352122,1,0.018789,1,0.102122
NV,4,677358.000000,5,541886.400000,0.408087,1,0.158087,2,0.008087
NH,2,660722.500000,3,440481.666667,0.515724,1,0.015724,2,0.150943
NJ,12,733958.416667,17,518088.294118,0.510301,6,0.010301,9,0.019111
NM,3,689091.000000,4,516818.250000,0.529975,2,0.136692,2,0.029975
NY,27,719298.333333,38,511080.394737,0.575192,18,0.091474,22,0.003755
NC,13,735829.307692,18,531432.277778,0.456030,3,0.225261,8,0.011585
ND,1,675905.000000,1,675905.000000,0.409269,0,0.409269,0,0.409269
OH,16,723030.937500,22,525840.681818,0.412085,4,0.162085,9,0.002994
OK,5,752976.400000,7,537840.285714,0.280543,0,0.280543,2,0.005172
OR,5,769721.200000,7,549800.857143,0.571720,4,0.228280,4,0.000292
PA,18,707494.722222,25,509396.200000,0.444977,5,0.167199,11,0.004977
RI,2,527623.500000,2,527623.500000,0.611023,2,0.388977,2,0.388977
SC,7,663710.714286,9,516219.444444,0.396013,1,0.253156,3,0.062679
SD,1,819761.000000,2,409880.500000,0.334704,0,0.334704,1,0.165296
TN,9,708381.222222,12,531285.916667,0.369722,2,0.147500,4,0.036389
TX,36,701900.500000,49,515682.000000,0.405278,11,0.099722,20,0.002886
UT,4,692691.250000,5,554153.000000,0.343279,0,0.343279,1,0.143279
VT,1,630337.000000,1,630337.000000,0.674846,1,0.325154,1,0.325154
VA,11,730703.272727,16,502358.500000,0.452277,3,0.179549,7,0.014777
WA,10,675336.900000,13,519489.923077,0.531381,6,0.068619,7,0.007081
WV,3,619938.333333,4,464953.750000,0.429064,0,0.429064,1,0.179064
WI,8,712278.750000,11,518020.909091,0.472012,3,0.097012,5,0.017467
WY,1,568300.000000,1,568300.000000,0.250615,0,0.250615,0,0.250615
