XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,686140.285714,9,533664.666667,0.380751,1,0.237894,3,0.047418
AK,1,721523.000000,1,721523.000000,0.417197,0,0.417197,0,0.417197
AZ,9,712522.222222,12,534391.666667,0.465830,4,0.021386,6,0.034170
AR,4,731557.250000,6,487704.833333,0.320782,0,0.320782,2,0.012552
CA,53,704565.830189,72,518638.736111,0.615493,39,0.120356,44,0.004382
CO,7,720704.285714,10,504493.000000,0.495137,3,0.066565,5,0.004863
CT,5,716325.600000,7,511661.142857,0.621579,5,0.378421,5,0.092707
DE,1,900877.000000,2,450438.500000,0.575462,1,0.424538,1,0.075462
FL,27,700028.629630,37,510831.702703,0.466186,11,0.058778,17,0.006726
GA,14,694826.142857,19,511977.157895,0.443298,4,0.157584,8,0.022245
HI,2,683431.000000,3,455620.666667,0.786942,2,0.213058,2,0.120276
ID,2,786749.500000,3,524499.666667,0.318325,0,0.318325,1,0.015008
IL,18,714687.777778,25,514575.200000,0.543859,11,0.067252,14,0.016141
IN,9,722398.000000,13,500121.692308,0.407794,2,0.185572,5,0.023179
IA,4,763446.750000,6,508964.500000,0.453204,1,0.203204,3,0.046796
KS,4,715953.250000,6,477302.166667,0.356724,0,0.356724,2,0.023390
KY,6,725101.000000,8,543825.750000,0.365480,1,0.198814,3,0.009520
LA,6,758993.666667,9,505995.777778,0.329872,1,0.163205,3,0.003461
ME,2,666537.000000,3,444358.000000,0.519608,1,0.019608,2,0.147058
MD,8,723741.125000,11,526357.181818,0.629722,7,0.245278,7,0.006641
MA,9,728849.333333,13,504588.000000,0.694162,9,0.305838,9,0.001854
MI,14,707973.285714,19,521664.526316,0.494431,5,0.137288,9,0.020747
MN,8,664359.875000,10,531487.900000,0.573434,5,0.051566,6,0.026566
MS,4,744560.000000,6,496373.333333,0.397889,1,0.147889,2,0.064556
MO,8,751434.750000,12,500956.500000,0.394161,2,0.144161,5,0.022506
MT,1,994416.000000,2,497208.000000,0.419150,0,0.419150,1,0.080850
NE,3,610608.333333,4,457956.250000,0.363368,0,0.363368,1,0.113368
NV,4,677358.000000,5,541886.400000,0.504974,3,0.245026,3,0.095026
NH,2,660722.500000,3,440481.666667,0.515672,2,0.484328,2,0.150995
NJ,12,733958.416667,17,518088.294118,0.541625,7,0.041709,9,0.012213
NM,3,689091.000000,4,516818.250000,0.560129,2,0.106538,2,0.060129
NY,27,719298.333333,38,511080.394737,0.624668,18,0.041999,24,0.006911
NC,13,735829.307692,18,531432.277778,0.466812,3,0.236043,8,0.022368
ND,1,675905.000000,1,675905.000000,0.434028,0,0.434028,0,0.434028
OH,16,723030.937500,22,525840.681818,0.418310,4,0.168310,9,0.009219
OK,5,752976.400000,7,537840.285714,0.284782,0,0.284782,2,0.000932
OR,5,769721.200000,7,549800.857143,0.547517,4,0.252483,4,0.023911
PA,18,707494.722222,25,509396.200000,0.471663,5,0.193886,12,0.008337
RI,2,527623.500000,2,527623.500000,0.651023,2,0.348977,2,0.348977
SC,7,663710.714286,9,516219.444444,0.394668,1,0.251811,3,0.061335
SD,1,819761.000000,2,409880.500000,0.358972,0,0.358972,1,0.141028
TN,9,708381.222222,12,531285.916667,0.352777,2,0.130555,4,0.019443
TX,36,701900.500000,49,515682.000000,0.434248,11,0.128692,21,0.005676
UT,4,692691.250000,5,554153.000000,0.333939,0,0.333939,1,0.133939
VT,1,630337.000000,1,630337.000000,1.000000,1,0.000000,1,0.000000
VA,11,730703.272727,16,502358.500000,0.488212,4,0.124576,8,0.011788
WA,10,675336.900000,13,519489.923077,0.539312,6,0.060688,7,0.000850
WV,3,619938.333333,4,464953.750000,0.335266,0,0.335266,1,0.085266
WI,8,712278.750000,11,518020.909091,0.487819,3,0.112819,5,0.033273
WY,1,568300.000000,1,568300.000000,0.325787,0,0.325787,0,0.325787
