XX,NAME,S_435,S_600,S_NEXT
AL,Alabama,7,10,648
AK,Alaska,1,1,638
AZ,Arizona,6,9,647
AR,Arkansas,4,6,685
CA,California,52,72,609
CO,Colorado,6,8,641
CT,Connecticut,6,8,644
DE,Delaware,1,2,
FL,Florida,23,31,607
GA,Georgia,11,16,632
HI,Hawaii,2,3,
ID,Idaho,2,2,606
IL,Illinois,20,27,601
IN,Indiana,10,13,608
IA,Iowa,5,7,670
KS,Kansas,4,6,653
KY,Kentucky,6,9,640
LA,Louisiana,7,10,617
ME,Maine,2,3,699
MD,Maryland,8,12,651
MA,Massachusetts,10,14,602
MI,Michigan,16,22,604
MN,Minnesota,8,11,656
MS,Mississippi,5,6,626
MO,Missouri,9,12,610
MT,Montana,1,2,761
NE,Nebraska,3,4,704
NV,Nevada,2,3,717
NH,New Hampshire,2,3,
NJ,New Jersey,13,19,627
NM,New Mexico,3,4,731
NY,New York,31,43,603
NC,North Carolina,12,16,618
ND,North Dakota,1,2,
OH,Ohio,19,26,612
OK,Oklahoma,6,8,671
OR,Oregon,5,7,657
PA,Pennsylvania,21,29,616
RI,Rhode Island,2,2,613
SC,South Carolina,6,8,605
SD,South Dakota,1,2,
TN,Tennessee,9,12,635
TX,Texas,30,41,611
UT,Utah,3,4,649
VT,Vermont,1,1,625
VA,Virginia,11,15,622
WA,Washington,9,12,636
WV,West Virginia,3,4,619
WI,Wisconsin,9,12,633
WY,Wyoming,1,1,774
