XX,NAME,S_435,S_600,S_NEXT
AL,Alabama,7,9,631
AK,Alaska,1,1,641
AZ,Arizona,9,13,630
AR,Arkansas,4,5,603
CA,California,52,72,608
CO,Colorado,8,10,602
CT,Connecticut,5,7,688
DE,Delaware,1,2,
FL,Florida,28,39,607
GA,Georgia,14,19,604
HI,Hawaii,2,3,787
ID,Idaho,2,3,625
IL,Illinois,17,23,609
IN,Indiana,9,12,613
IA,Iowa,4,6,674
KS,Kansas,4,5,619
KY,Kentucky,6,8,626
LA,Louisiana,6,8,606
ME,Maine,2,3,
MD,Maryland,8,11,618
MA,Massachusetts,9,13,640
MI,Michigan,13,18,611
MN,Minnesota,8,10,612
MS,Mississippi,4,5,614
MO,Missouri,8,11,621
MT,Montana,2,2,750
NE,Nebraska,3,4,754
NV,Nevada,4,6,691
NH,New Hampshire,2,3,
NJ,New Jersey,12,17,627
NM,New Mexico,3,4,700
NY,New York,26,37,616
NC,North Carolina,14,19,620
ND,North Dakota,1,1,601
OH,Ohio,15,21,605
OK,Oklahoma,5,7,632
OR,Oregon,6,8,662
PA,Pennsylvania,17,24,629
RI,Rhode Island,2,2,737
SC,South Carolina,7,9,615
SD,South Dakota,1,2,
TN,Tennessee,9,13,648
TX,Texas,38,53,610
UT,Utah,4,6,655
VT,Vermont,1,1,728
VA,Virginia,11,16,636
WA,Washington,10,14,624
WV,West Virginia,2,3,643
WI,Wisconsin,8,11,647
WY,Wyoming,1,1,811
