XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,637304.285714,10,446113.000000,0.432230,2,0.146516,4,0.032230
AK,1,628933.000000,2,314466.500000,0.239302,0,0.239302,0,0.239302
AZ,8,642585.375000,12,428390.250000,0.403278,2,0.153278,5,0.013388
AR,4,669933.250000,6,446622.166667,0.583036,3,0.166964,3,0.083036
CA,53,640203.735849,78,435010.230769,0.552631,33,0.070011,43,0.001348
CO,7,615983.142857,10,431188.200000,0.500868,3,0.072296,5,0.000868
CT,5,681907.000000,8,426191.875000,0.555031,2,0.155031,4,0.055031
DE,1,785068.000000,2,392534.000000,0.300591,0,0.300591,1,0.199409
FL,25,641155.600000,37,433213.243243,0.426734,7,0.146734,16,0.005699
GA,13,631305.769231,19,431946.052632,0.437756,6,0.023783,8,0.016703
HI,2,608321.000000,3,405547.333333,0.638232,2,0.361768,2,0.028434
ID,2,648637.000000,3,432424.666667,0.298833,0,0.298833,1,0.034500
IL,19,654686.421053,29,428932.482759,0.531241,10,0.004925,15,0.014000
IN,9,676753.555556,14,435055.857143,0.419645,2,0.197422,6,0.008927
IA,5,586384.600000,7,418846.142857,0.431584,1,0.231584,3,0.003013
KS,4,673456.000000,6,448970.666667,0.403561,1,0.153561,2,0.070227
KY,6,674905.166667,9,449936.777778,0.397795,1,0.231128,4,0.046649
LA,7,640038.714286,10,448027.100000,0.368509,2,0.082795,4,0.031491
ME,2,638865.500000,3,425910.333333,0.596331,2,0.403669,2,0.070335
MD,8,663485.750000,12,442323.833333,0.593918,6,0.156082,7,0.010585
MA,10,635556.800000,15,423704.533333,0.699403,10,0.300597,10,0.032736
MI,15,663721.933333,23,432862.130435,0.494906,6,0.094906,11,0.016645
MN,8,615708.750000,11,447788.181818,0.531022,4,0.031022,6,0.014433
MS,4,713231.750000,7,407561.000000,0.445563,2,0.054437,3,0.016992
MO,9,622917.777778,13,431250.769231,0.454795,4,0.010351,6,0.006743
MT,1,905316.000000,2,452658.000000,0.337299,0,0.337299,1,0.162701
NE,3,571789.666667,4,428842.250000,0.309323,0,0.309323,1,0.059323
NV,3,667344.000000,5,400406.400000,0.442489,1,0.109155,2,0.042489
NH,2,619207.500000,3,412805.000000,0.380758,0,0.380758,1,0.047424
NJ,13,648027.230769,19,443387.052632,0.523204,6,0.061666,10,0.003112
NM,3,607940.333333,4,455955.250000,0.518241,1,0.184907,2,0.018241
NY,29,655343.896552,44,431931.204545,0.608812,20,0.080844,27,0.004825
NC,13,620590.230769,19,424614.368421,0.489266,6,0.027728,9,0.015582
ND,1,643756.000000,2,321878.000000,0.595630,1,0.404370,1,0.095630
OH,18,631918.888889,26,437482.307692,0.469497,6,0.136164,12,0.007959
OK,5,691763.800000,8,432352.375000,0.392973,1,0.192973,3,0.017973
OR,5,685708.600000,8,428567.875000,0.555492,4,0.244508,4,0.055492
PA,19,647403.684211,28,439309.642857,0.493302,7,0.124881,14,0.006698
RI,2,524831.000000,3,349887.333333,0.712042,2,0.287958,2,0.045376
SC,6,670843.500000,9,447229.000000,0.415173,2,0.081839,4,0.029272
SD,1,756874.000000,2,378437.000000,0.537519,1,0.462481,1,0.037519
TN,9,633337.444444,13,438464.384615,0.493618,5,0.061938,6,0.032080
TX,32,653249.812500,48,435499.875000,0.427344,11,0.083594,21,0.010156
UT,3,745571.333333,5,447342.800000,0.409995,1,0.076661,2,0.009995
VT,1,609890.000000,2,304945.000000,0.225981,0,,0,0.225981
VA,11,645518.363636,16,443793.875000,0.418331,3,0.145603,7,0.019169
WA,9,656520.444444,14,422048.857143,0.594899,6,0.071768,8,0.023470
WV,3,604359.000000,4,453269.250000,0.578193,2,0.088473,2,0.078193
WI,8,671401.250000,12,447600.833333,0.481112,4,0.018888,6,0.018888
WY,1,495304.000000,2,247652.000000,0.430809,0,0.430809,1,0.069191
