XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,637304.285714,9,495681.111111,0.432230,2,0.146516,4,0.012214
AK,1,628933.000000,2,314466.500000,0.239302,0,0.239302,0,0.239302
AZ,8,642585.375000,11,467334.818182,0.403278,2,0.153278,4,0.039642
AR,4,669933.250000,6,446622.166667,0.583036,3,0.166964,3,0.083036
CA,53,640203.735849,72,471261.083333,0.552631,33,0.070011,40,0.002925
CO,7,615983.142857,9,479098.000000,0.500868,3,0.072296,5,0.054688
CT,5,681907.000000,7,487076.428571,0.555031,2,0.155031,4,0.016397
DE,1,785068.000000,2,392534.000000,0.300591,0,0.300591,1,0.199409
FL,25,641155.600000,34,471437.941176,0.426734,7,0.146734,15,0.014443
GA,13,631305.769231,17,482763.235294,0.437756,6,0.023783,7,0.025991
HI,2,608321.000000,3,405547.333333,0.638232,2,0.361768,2,0.028434
ID,2,648637.000000,3,432424.666667,0.298833,0,0.298833,1,0.034500
IL,19,654686.421053,26,478424.692308,0.531241,10,0.004925,14,0.007221
IN,9,676753.555556,13,468521.692308,0.419645,2,0.197422,5,0.035029
IA,5,586384.600000,6,488653.833333,0.431584,1,0.231584,2,0.098251
KS,4,673456.000000,6,448970.666667,0.403561,1,0.153561,2,0.070227
KY,6,674905.166667,9,449936.777778,0.397795,1,0.231128,4,0.046649
LA,7,640038.714286,10,448027.100000,0.368509,2,0.082795,4,0.031491
ME,2,638865.500000,3,425910.333333,0.596331,2,0.403669,2,0.070335
MD,8,663485.750000,11,482535.090909,0.593918,6,0.156082,7,0.042445
MA,10,635556.800000,13,488889.846154,0.699403,10,0.300597,10,0.069828
MI,15,663721.933333,21,474087.095238,0.494906,6,0.094906,10,0.018716
MN,8,615708.750000,10,492567.000000,0.531022,4,0.031022,5,0.031022
MS,4,713231.750000,6,475487.833333,0.445563,2,0.054437,3,0.054437
MO,9,622917.777778,12,467188.333333,0.454795,4,0.010351,5,0.038129
MT,1,905316.000000,2,452658.000000,0.337299,0,0.337299,1,0.162701
NE,3,571789.666667,4,428842.250000,0.309323,0,0.309323,1,0.059323
NV,3,667344.000000,4,500508.000000,0.442489,1,0.109155,2,0.057511
NH,2,619207.500000,3,412805.000000,0.380758,0,0.380758,1,0.047424
NJ,13,648027.230769,18,468019.666667,0.523204,6,0.061666,9,0.023204
NM,3,607940.333333,4,455955.250000,0.518241,1,0.184907,2,0.018241
NY,29,655343.896552,40,475124.325000,0.608812,20,0.080844,24,0.008812
NC,13,620590.230769,17,474569.000000,0.489266,6,0.027728,8,0.018678
ND,1,643756.000000,2,321878.000000,0.595630,1,0.404370,1,0.095630
OH,18,631918.888889,24,473939.166667,0.469497,6,0.136164,11,0.011164
OK,5,691763.800000,7,494117.000000,0.392973,1,0.192973,3,0.035598
OR,5,685708.600000,7,489791.857143,0.555492,4,0.244508,4,0.015936
PA,19,647403.684211,26,473102.692308,0.493302,7,0.124881,13,0.006698
RI,2,524831.000000,3,349887.333333,0.712042,2,0.287958,2,0.045376
SC,6,670843.500000,9,447229.000000,0.415173,2,0.081839,4,0.029272
SD,1,756874.000000,2,378437.000000,0.537519,1,0.462481,1,0.037519
TN,9,633337.444444,12,475003.083333,0.493618,5,0.061938,6,0.006382
TX,32,653249.812500,44,475090.772727,0.427344,11,0.083594,19,0.004474
UT,3,745571.333333,5,447342.800000,0.409995,1,0.076661,2,0.009995
VT,1,609890.000000,2,304945.000000,0.225981,0,,0,0.225981
VA,11,645518.363636,15,473380.133333,0.418331,3,0.145603,6,0.018331
WA,9,656520.444444,13,454514.153846,0.594899,6,0.071768,8,0.020486
WV,3,604359.000000,4,453269.250000,0.578193,2,0.088473,2,0.078193
WI,8,671401.250000,11,488291.818182,0.481112,4,0.018888,5,0.026566
WY,1,495304.000000,2,247652.000000,0.430809,0,0.430809,1,0.069191
